Id;Name
1;Bardo
2;Bielawa
3;Bierutów
4;Bogatynia
5;Boguszów-Gorce
6;Boles³awiec
7;Bolków
8;Brzeg Dolny
9;Bystrzyca K³odzka
10;Chocianów
11;Chojnów
12;Duszniki Zdrój
13;Dzier¿oniów
14;G³ogów
15;G³uszyca
16;Góra
17;Gryfów Œl¹ski
18;Jawor
19;Jaworzyna Œl¹ska
20;Jedlina Zdrój
21;Jelcz-Laskowice
22;Jelenia Góra
23;Kamienna Góra
24;Karpacz
25;K¹ty Wroc³awskie
26;K³odzko
27;Kowary
28;Kudowa Zdrój
29;L¹dek Zdrój
30;Legnica
31;Leœna
32;Lubañ
33;Lubawka
34;Lubin
35;Lubomierz
36;Lwówek Œl¹ski
37;Mieroszów
38;Miêdzybórz
39;Miêdzylesie
40;Milicz
41;Mirsk
42;Niemcza
43;Nowa Ruda
44;Nowogrodziec
45;Oborniki Œl¹skie
46;Oleœnica
47;O³awa
48;Piechowice
49;Pieñsk
50;Pieszyce
51;Pi³awa Górna
52;Polanica Zdrój
53;Polkowice
54;Prochowice
55;Prusice
56;Przemków
57;Radków
58;Siechnice
59;Sobótka
60;Stronie Œl¹skie
61;Strzegom
62;Strzelin
63;Syców
64;Szczawno Zdrój
65;Szczytna
66;Szklarska Porêba
67;Œcinawa
68;Œroda Œl¹ska
69;Œwidnica
70;Œwiebodzice
71;Œwieradów Zdrój
72;Œwierzawa
73;Trzebnica
74;Twardogóra
75;Wa³brzych
76;W¹sosz
77;Wêgliniec
78;Wi¹zów
79;Wleñ
80;Wojcieszów
81;Wo³ów
82;Wroc³aw
83;Zawidów
84;Z¹bkowice Œl¹skie
85;Zgorzelec
86;Ziêbice
87;Z³otoryja
88;Z³oty Stok
89;¯arów
90;¯migród
91;Aleksandrów Kujawski
92;Barcin
93;Brodnica
94;Brzeœæ Kujawski
95;Bydgoszcz
96;Che³mno
97;Che³m¿a
98;Chodecz
99;Ciechocinek
100;Dobrzyñ nad Wis³¹
101;Gniewkowo
102;Golub-Dobrzyñ
103;Górzno
104;Grudzi¹dz
105;Inowroc³aw
106;Izbica Kujawska
107;Jab³onowo Pomorskie
108;Janikowo
109;Janowiec Wielkopolski
110;Kamieñ Krajeñski
111;Kcynia
112;Koronowo
113;Kowal
114;Kowalewo Pomorskie
115;Kruszwica
116;Lipno
117;Lubieñ Kujawski
118;Lubraniec
119;£abiszyn
120;£asin
121;Mogilno
122;Mrocza
123;Nak³o nad Noteci¹
124;Nieszawa
125;Nowe
126;Pakoœæ
127;Piotrków Kujawski
128;Radziejów
129;Radzyñ Che³miñski
130;Rypin
131;Sêpólno Krajeñskie
132;Skêpe
133;Solec Kujawski
134;Strzelno
135;Szubin
136;Œwiecie
137;Toruñ
138;Tuchola
139;W¹brzeŸno
140;Wiêcbork
141;W³oc³awek
142;¯nin
143;Annopol
144;Be³¿yce
145;Bia³a Podlaska
146;Bi³goraj
147;Bychawa
148;Che³m
149;Dêblin
150;Frampol
151;Hrubieszów
152;Janów Lubelski
153;Józefów
154;Kazimierz Dolny
155;Kock
156;Krasnobród
157;Krasnystaw
158;Kraœnik
159;Lubartów
160;Lublin
161;£êczna
162;£uków
163;Miêdzyrzec Podlaski
164;Na³êczów
165;Opole Lubelskie
166;Ostrów Lubelski
167;Parczew
168;Piaski
169;Poniatowa
170;Pu³awy
171;Radzyñ Podlaski
172;Rejowiec Fabryczny
173;Ryki
174;Stoczek £ukowski
175;Szczebrzeszyn
176;Œwidnik
177;Tarnogród
178;Terespol
179;Tomaszów Lubelski
180;W³odawa
181;Zamoœæ
182;Zwierzyniec
183;Babimost
184;Bytom Odrzañski
185;Cybinka
186;Czerwieñsk
187;Dobiegniew
188;Drezdenko
189;Gorzów Wielkopolski
190;Gozdnica
191;Gubin
192;I³owa
193;Jasieñ
194;Kargowa
195;Kostrzyn
196;Ko¿uchów
197;Krosno Odrzañskie
198;Lubniewice
199;Lubsko
200;£êknica
201;Ma³omice
202;Miêdzyrzecz
203;Nowa Sól
204;Nowe Miasteczko
205;Nowogród Bobrzañski
206;Oœno Lubuskie
207;Rzepin
208;Skwierzyna
209;S³awa
210;S³ubice
211;Strzelce Krajeñskie
212;Sulechów
213;Sulêcin
214;Szlichtyngowa
215;Szprotawa
216;Œwiebodzin
217;Torzym
218;Trzciel
219;Witnica
220;Wschowa
221;Zb¹szynek
222;Zielona Góra
223;¯agañ
224;¯ary
225;Aleksandrów £ódzki
226;Be³chatów
227;Bia³a Rawska
228;B³aszki
229;Brzeziny
230;Drzewica
231;Dzia³oszyn
232;G³owno
233;Kamieñsk
234;Koluszki
235;Konstantynów £ódzki
236;Kroœniewice
237;Kutno
238;£ask
239;£êczyca
240;£owicz
241;£ódŸ
242;Opoczno
243;Ozorków
244;Pabianice
245;Pajêczno
246;Piotrków Trybunalski
247;Poddêbice
248;Przedbórz
249;Radomsko
250;Rawa Mazowiecka
251;Sieradz
252;Skierniewice
253;Stryków
254;Sulejów
255;Szadek
256;Tomaszów Mazowiecki
257;Tuszyn
258;Uniejów
259;Warta
260;Wieluñ
261;Wieruszów
262;Zduñska Wola
263;Zelów
264;Zgierz
265;Z³oczew
266;¯ychlin
267;Alwernia
268;Andrychów
269;Biecz
270;Bochnia
271;Brzesko
272;Brzeszcze
273;Bukowno
274;Che³mek
275;Chrzanów
276;Ciê¿kowice
277;Czchów
278;D¹browa Tarnowska
279;Dobczyce
280;Gorlice
281;Grybów
282;Jordanów
283;Kalwaria Zebrzydowska
284;Kêty
285;Kraków
286;Krynica
287;Krzeszowice
288;Libi¹¿
289;Limanowa
290;Maków Podhalañski
291;Miechów
292;Mszana Dolna
293;Muszyna
294;Myœlenice
295;Niepo³omice
296;Nowy S¹cz
297;Nowy Targ
298;Nowy Wiœnicz
299;Olkusz
300;Oœwiêcim
301;Piwniczna Zdrój
302;Proszowice
303;Rabka
304;Ska³a
305;Skawina
306;S³awków
307;S³omniki
308;Stary S¹cz
309;Sucha Beskidzka
310;Su³kowice
311;Szczawnica
312;Œwi¹tniki Górne
313;Tarnów
314;Trzebinia
315;Tuchów
316;Wadowice
317;Wieliczka
318;Wolbrom
319;Zakopane
320;Zator
321;¯abno
322;Bia³obrzegi
323;Bie¿uñ
324;B³onie
325;Brok
326;Brwinów
327;Chorzele
328;Ciechanów
329;Drobin
330;Garwolin
331;G¹bin
332;Glinojeck
333;Gostynin
334;Góra Kalwaria
